customer_id,signup_date,due_date,amount,plan_freq,first_outcome,fail_reason,charge_id
0,2024-09-12,2024-10-12,51.19,monthly,success,NONE,0
0,2024-09-12,2024-11-11,51.19,monthly,success,NONE,1
0,2024-09-12,2024-12-11,51.19,monthly,success,NONE,2
0,2024-09-12,2025-01-10,51.19,monthly,fail,NSF,3
0,2024-09-12,2025-02-09,51.19,monthly,success,NONE,4
0,2024-09-12,2025-03-11,51.19,monthly,success,NONE,5
0,2024-09-12,2025-04-10,51.19,monthly,success,NONE,6
0,2024-09-12,2025-05-10,51.19,monthly,success,NONE,7
0,2024-09-12,2025-06-09,51.19,monthly,success,NONE,8
1,2024-05-29,2024-06-12,85.29,fortnightly,success,NONE,9
1,2024-05-29,2024-06-26,85.29,fortnightly,success,NONE,10
1,2024-05-29,2024-07-10,85.29,fortnightly,success,NONE,11
1,2024-05-29,2024-07-24,85.29,fortnightly,success,NONE,12
1,2024-05-29,2024-08-07,85.29,fortnightly,success,NONE,13
1,2024-05-29,2024-08-21,85.29,fortnightly,success,NONE,14
1,2024-05-29,2024-09-04,85.29,fortnightly,fail,NSF,15
1,2024-05-29,2024-09-18,85.29,fortnightly,success,NONE,16
1,2024-05-29,2024-10-02,85.29,fortnightly,success,NONE,17
1,2024-05-29,2024-10-16,85.29,fortnightly,success,NONE,18
1,2024-05-29,2024-10-30,85.29,fortnightly,success,NONE,19
1,2024-05-29,2024-11-13,85.29,fortnightly,success,NONE,20
1,2024-05-29,2024-11-27,85.29,fortnightly,fail,DNH,21
1,2024-05-29,2024-12-11,85.29,fortnightly,success,NONE,22
1,2024-05-29,2024-12-25,85.29,fortnightly,success,NONE,23
1,2024-05-29,2025-01-08,85.29,fortnightly,success,NONE,24
1,2024-05-29,2025-01-22,85.29,fortnightly,success,NONE,25
1,2024-05-29,2025-02-05,85.29,fortnightly,success,NONE,26
1,2024-05-29,2025-02-19,85.29,fortnightly,success,NONE,27
1,2024-05-29,2025-03-05,85.29,fortnightly,success,NONE,28
1,2024-05-29,2025-03-19,85.29,fortnightly,success,NONE,29
1,2024-05-29,2025-04-02,85.29,fortnightly,success,NONE,30
1,2024-05-29,2025-04-16,85.29,fortnightly,fail,NSF,31
1,2024-05-29,2025-04-30,85.29,fortnightly,success,NONE,32
1,2024-05-29,2025-05-14,85.29,fortnightly,success,NONE,33
1,2024-05-29,2025-05-28,85.29,fortnightly,success,NONE,34
1,2024-05-29,2025-06-11,85.29,fortnightly,fail,NSF,35
2,2024-07-01,2024-07-31,31.03,monthly,success,NONE,36
2,2024-07-01,2024-08-30,31.03,monthly,success,NONE,37
2,2024-07-01,2024-09-29,31.03,monthly,success,NONE,38
2,2024-07-01,2024-10-29,31.03,monthly,success,NONE,39
2,2024-07-01,2024-11-28,31.03,monthly,success,NONE,40
2,2024-07-01,2024-12-28,31.03,monthly,success,NONE,41
2,2024-07-01,2025-01-27,31.03,monthly,success,NONE,42
2,2024-07-01,2025-02-26,31.03,monthly,success,NONE,43
2,2024-07-01,2025-03-28,31.03,monthly,success,NONE,44
2,2024-07-01,2025-04-27,31.03,monthly,success,NONE,45
2,2024-07-01,2025-05-27,31.03,monthly,fail,NSF,46
3,2024-02-20,2024-03-21,203.38,monthly,fail,NSF,47
3,2024-02-20,2024-04-20,203.38,monthly,fail,NSF,48
3,2024-02-20,2024-05-20,203.38,monthly,fail,NSF,49
3,2024-02-20,2024-06-19,203.38,monthly,fail,NSF,50
3,2024-02-20,2024-07-19,203.38,monthly,fail,NSF,51
3,2024-02-20,2024-08-18,203.38,monthly,fail,NSF,52
3,2024-02-20,2024-09-17,203.38,monthly,success,NONE,53
